WIG;DAX;CAC40;FTSE
20635.98;3876.94;3496.06;5716
20862.08;3903.34;3500.09;5749.6
NA;NA;3510.3;5753.9
NA;NA;NA;NA
20855.13;3952.72;3520.79;5775.9
20862.15;3965.16;3529.18;5805.3
20820.07;NA;3557.9;5802.3
21299.37;4018.5;3596.8;5834.1
22017.8;4035.9;3608.29;5837.6
21953.58;4035.44;3595.82;5837.3
21972.55;4004.4;3563.51;5844.3
21958.3;4045.43;3592.73;5915.6
21813.73;4016.18;3574.8;5933.8
22276.67;3995.91;3560.1;5920.4
22338.16;3996.22;3576.18;5963.6
22012.32;4055.21;3612.55;6016.1
22155.21;4068.75;3626.97;6038.9
22010.2;4111.64;3671.8;6108.1
22144;4139.92;3689.97;6137.4
22238.18;4106.41;3660.19;6127.7
22137.2;4138.04;3676.38;6120.4
22411.71;4139.86;3695.6;6069
22490.12;4151.83;3693.36;6045.4
22518.16;4128.68;3675.72;6036.4
22469.07;4134.42;3697.42;6050.4
21829.92;4150.24;3706.79;6029.9
21751.41;4095.71;3662.3;5965.5
21947.21;4058.6;3638.44;6023.9
22227.67;4071.6;3665.02;6057.4
22063.42;4057.51;3638.21;6044.3
22160.85;4028.37;3607.57;6010.9
22244.16;4014.79;3610.31;6046.3
22512.88;4044.99;3624.72;6094.4
23085.1;4098.97;3663.73;6133.5
23352.78;4110.8;3668.45;6118.2
23259.48;4122.16;3677.85;6134.7
23400.42;4121.65;3681.56;6171
23293.96;4057.05;3649.34;6197
23448.51;4070.46;3678.07;6205.5
23493.64;4095.86;3703.82;6244.9
23477.31;4095.34;3709.02;6275.6
23187.76;4141.53;3759.32;6297.7
23333.88;4073.35;3733.28;6307.8
23133.04;4068.71;3731.15;6299.3
22586.84;3991.42;3683.44;6253.2
22653.53;3995.34;3702.63;6244.8
22759.79;4007.81;3714.49;6259.8
23317.86;4018.16;3725.44;6269.9
23844;4054.43;3748.87;6322.5
23811.24;4100.34;3785.36;6353.6
23718.78;4071.7;3758.51;6317.9
23677.32;4133.78;3776.94;6337.9
23858.06;4126.14;3761.11;6357.3
24243.21;4145.99;3781.38;6388.8
23832.67;4087.55;3737.03;6359.3
23910.67;4044.7;3758.09;6301.6
23503.91;3904.95;3646.43;6176.9
23677.41;3915.38;3661.78;6257.8
23275.18;3810.76;3573.84;6173.3
23509.11;3822.37;3588.04;6159.4
23668.68;3896.79;3656.04;6209.1
23309.5;3827.43;3589.98;6189.3
23089.18;3819.15;3613.28;6240.2
23027.54;3729.23;3539.22;6132.5
23355.72;3728.82;3539.91;6134.6
23353.94;3726.07;3518.45;6148.8
23642.82;3811.92;3570.4;6217.9
23682.14;3822.33;3592.39;6203.4
23863.74;3881.25;3634.18;6237.5
24044.58;3874.04;3620.1;6251.6
23870.12;3856.7;3625.23;6259.4
23883.68;3924.85;3669.98;6294.2
24387.78;4007.6;3739.91;6332.2
24559.35;4048.6;3781.2;6324.8
24559.06;4022.81;3746.11;6308.3
24463.68;4001.16;3734.56;6323.1
24694.14;4013.53;3740.11;6341.2
NA;NA;NA;NA
25206.59;4071.42;3774.69;6348.4
25013.5;4012.77;3731.43;6264.2
25196.35;4004.61;3722.76;6269.4
25059.06;4033.98;3751.59;6258.4
24955.12;4025.07;3743.43;6286.1
25130.82;4061.13;3773.43;6345
25158.3;4026.15;3743.15;6295.5
24469.7;4059.15;3785.55;6313.8
24639.75;4103.62;3811.43;6366.7
24613.85;4125.83;3785.55;6370.6
24611.79;4134.1;3782.09;6362.2
24601.56;4065.74;3722.59;6311.3
24100.2;4008.91;3689.39;6250.2
24304.41;3985.21;3674.28;6210.7
NA;4007.65;3705.48;NA
24454.64;3990.75;3700.79;6228.8
24126.04;4022.1;3729.38;6218.8
23919.36;3909.46;3655.14;6168.1
23651.06;3895.64;3653.18;6113.5
22962.68;3784.61;3553.35;5942.9
22623.5;3849.84;3606.41;6001.2
22870.31;3776.24;3564.34;5969
22523.4;3824.93;3614.24;6010.7
22677.49;3803.1;3603.26;5981.2
22743.79;3754.37;3553.02;5883
22984.54;3789.24;3569.14;5943.7
23261.2;3872.26;3643.32;6027
23282.2;3839.32;3609.97;5978.6
23280.31;3831.84;3607.02;5994
23245.43;3867.84;3628.82;6001.9
22891.66;3828.07;3610.53;5983.6
23290.65;3867.52;3659.92;6033.7
23421.78;3913.33;3679.37;6031.9
23541.74;3902.72;3652.03;6053.6
23607.7;3921.41;3669.63;NA
23506.94;3864.18;3624.47;6026.5
23738.38;3888.31;3646.23;6050.2
23665.75;3917.08;3654.37;6044.9
23506.95;3961.93;3698.87;6096.8
23669.64;4017.81;3722.23;6128.4
23673.81;4018.95;3723.46;6148.1
23422.03;3997.76;3699.29;6162.4
NA;4021.64;3711.38;6166.9
23471.19;4014.56;3699.38;6159.1
23157.08;3948.65;3647.1;6099.3
23260.42;3987.3;3683.43;6100.7
23203.13;4003.24;3714.5;6130.6
23007.8;3985.46;3718.08;6142.3
23058.88;3999.79;3740.9;6134.4
23437.69;3989.31;3740.28;6168.4
23385.13;3928.39;3700.32;6163
23569.8;3945.1;3720.14;6188.2
23635.15;4007.05;3755.75;6193.9
23818.92;4013.35;3742.38;6225.6
23938.12;4069.35;3771.58;6252.6
24000.81;4069.73;3756.48;6257.7
23949.32;4052.73;3732.99;6277.9
23895.98;4035.02;3716.2;6240
23757.22;3998.77;3685.06;6221.3
23770.62;3995.73;3688.18;6194.3
23635.11;3944.88;3660.68;6137.5
23766.63;3930.58;3660.4;6120.4
23861.8;3934.48;3670.41;6088.2
23847.56;3924.49;3668.48;6090.6
23744.85;3893.24;3651.63;6088.2
23526.43;3903.88;3656.18;6109.4
23364.64;3898.84;3648.75;6071.8
23188.88;3847.19;3610.55;6043
23508.21;3845.93;3610.4;6073.9
23611.95;3812.63;3592.63;6063.5
23710.7;3837.6;3607.39;6045.6
23994.65;3877.48;3637.47;6074.4
23813.55;3801.05;3572.84;5998.2
23879.13;3797.33;3567.29;5991.1
23913.25;3752.59;3532.61;5927.9
23809.3;3814.08;3565.1;5948.4
23584.33;3807.21;3575.92;5963
23628.41;3889.68;3643.79;6014.9
23632.26;3895.61;3647.1;6023.5
23637.73;3862.71;3623.79;6017.7
23786.52;3877.32;3650.8;6026.6
23835.26;3823.74;3607.58;5951.8
23981.22;3829.03;3622.98;5956.8
23736.3;3727.74;3528.64;5886.3
23503;3690.33;3497.3;5834.4
23551.06;3720.64;3533.06;5875
23244.96;3678.91;3502.95;5858.5
23324.91;3658.11;3494.23;5869.7
23367.62;3646.99;3484.84;5857.3
23394.2;3699.11;3516.68;5881.6
23623.21;3705.73;3533.13;5908.1
23751.64;3726.5;3541.48;5916.1
23787.9;3722.99;3544.42;5956.3
23917.9;3712.61;3538.02;5959.2
23940.99;3772.14;3589.69;6016.6
24224.52;3771;3594.38;6036.7
23961.29;3788.88;3595.26;6036.3
23955.06;3832.28;3629.84;6073.6
24179.82;3851.18;3649.24;6086.1
24132.01;3838.85;3636.71;NA
24239.18;3785.21;3594.28;6087.3
24306.21;3817.62;3613.23;6108.7
24364.44;3833.45;3633.38;6133.5
24412.73;3866.99;3665.94;6155.9
24537.05;3887.58;3673.03;6198.2
24838.55;3889.04;3682.14;6217.5
24953.9;3884.16;3677.55;6233
24829.52;3851.22;3652.02;6222.3
24939.36;3886.03;3677.61;6246.7
25094.96;3953.31;3725.4;6272.8
25078.73;3947.75;3708.03;6251.4
25182.21;3941.75;3691.85;6250.2
25185.9;3963.65;3691.68;6259.1
25312.54;3988.07;3726.22;6296.1
25238.82;3977.68;3703.69;6277.9
25272.68;3991.02;3731.14;6276.5
25199.8;3942.35;3692.11;6268.8
25078.12;3905.66;3653.1;6205.2
24869.27;3910.3;3673.51;6222.5
24955.99;3874.37;3656.93;6226.8
25128.67;3882.27;3667.47;6233.7
25190.32;3920.36;3682.67;6262.8
25267.83;3892.9;3640.61;6269.1
25254.9;3994.96;3730.16;6333
25619.42;4033.28;3767.06;6401
25735.85;4048.71;3770.24;6391.6
25763.58;4049.66;3764.59;6370.5
25723.74;4043.36;3758.7;6384.1
25451;4015.54;3737.87;6379.5
25489.32;4017.82;3727.64;6372
24949.89;3957.6;3689.85;6312.9
24949.06;3976.03;3694.32;6271.3
24736.48;3940.46;3664.95;6254.1
24871.48;3922.11;3670.76;6273.8
24706.01;3915.17;3659.81;6252.9
25050.85;3964.13;3700.56;6289.7
24927.32;3912.4;3665.68;6244.6
24982.73;3934.06;3687.53;6264.7
25020.16;3935.14;3687.17;6287.2
24736.12;3854.41;3609.06;6241.6
24821.66;3862.26;3619.48;6277
24949.49;3929.03;3678.39;6322.5
24986.95;3959.59;3721.82;6326.5
25419.31;3960.25;3706.82;6321.8
NA;4012.64;3734.07;6361.2
25781.86;4037.57;3765.84;6402.9
25572.8;4039.04;3769.93;6447.8
25503.64;4041.38;3762.45;6466.7
25327.69;4063.58;3780.99;6516.1
25160.94;4068.97;3776.99;6474.4
25554.52;4065.33;3769.94;6471.4
25521.35;4089.13;3784.91;6495.7
NA;4130.81;3833.79;6535.7
25623.95;4143.35;3835.11;6582.3
25312.73;4134.34;3820.97;6592.5
25205.62;4117.22;3794.27;6558
25277.89;4183.41;3844.14;6599.2
25332.93;4178.68;3830.39;6604.3
25309.54;4134.89;3798.78;6599.6
25133.17;4123.98;3774.25;6540.9
24887.11;4113.37;3780.09;6569.6
24852.84;4125.3;3760.7;6583
25153.18;4160.35;3797.59;6596.4
25268.42;4154.27;3782.2;6594
25305.15;4146.98;3780.61;6589.7
25424.73;4126;3753.75;6577.4
25621.27;4186.03;3796.71;6594.1
26107.21;4216.4;3811.45;6620.4
26040.17;4208.87;3783.51;6656
25917.79;4193.91;3767.39;6635.5
26067.84;4212.62;3787.45;6661.5
25917.13;4201.35;3775.04;6657.6
25682.69;4150.41;3747.46;6641.1
25653.67;4174.55;3768.42;6675
25725.89;4219.24;3805.94;6728.9
25664.91;4231.3;3814.39;6715.7
25839.42;4213.69;3802.99;6757.9
26152.39;4233.71;3810.67;6793.6
26206.21;4182.27;3744.92;6767.4
26476.65;4211.55;3764.04;6789.9
26363.24;4214.39;3770.03;6810.9
26201.46;4241.28;3806.15;6843.5
26048.99;4251.62;3819.68;6873
